"","nl35","cp35","ufc35","ld35"
"1","ak1","Production","Use","Lexicon"
"2","ak2","Production","Use","Lexicon"
"3","exp","Production","Use","Discourse"
"4","cou","Production","Content","Lexicon"
"5","di1","Comprehension","Use","Pragmatics"
"6","di2","Comprehension","Use","Pragmatics"
"7","emo","Production","Content","Lexicon"
"8","wo1","Production","Form","Discourse"
"9","poi","Comprehension","Content","Lexicon"
"10","rbe","Comprehension","Form","Phonology"
"11","rhy","Production","Form","Phonology"
"12","sso","Production","Form","Phonology"
"13","tel","Production","Use","Discourse"
"14","wo3","Production","Form","Discourse"
"15","wo2","Production","Form","Discourse"
"16","un1","Comprehension","Content","Semantics"
"17","un2","Comprehension","Content","Semantics"
"18","tur","Comprehension","Use","Pragmatics"
