"id","ak1","ak2","exp","cou","di1","di2","emo","wo1","poi","rbe","rhy","sso","tel","wo3","wo2","un1","un2","tur","st","age","gr1","gr2","mh1","mh2","bor","sex","rtc","ssc","owp","onp","nch","em1","em2","pan","rac"
11,0,0,1,2,0,0,1,0,0,1,4,1,0,0,0,0,0,1,1,4,5,6,1,1,3,2,4,4,2,3,2,NA,1,3,2
18,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,2,2,7,6,2,2,2,2,2,3,NA,NA,2,2,1,3,1
25,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,3,5,7,3,2,2,3,2,2,4,3,2,2,1,1,3,1
29,0,0,1,3,0,0,1,0,0,1,2,1,0,0,0,0,0,1,3,4,3,3,1,3,1,1,3,4,3,4,1,2,5,3,7
34,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,5,2,7,7,1,1,1,2,4,4,NA,NA,1,1,1,2,4
37,0,0,1,3,0,0,1,0,0,1,4,2,0,0,0,0,0,2,4,3,8,8,2,2,2,2,3,4,3,3,2,1,5,2,1
39,0,0,1,2,0,0,2,0,0,2,3,2,0,0,0,0,0,2,4,4,7,3,3,3,1,2,2,3,3,5,1,1,5,2,4
59,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,4,5,NA,1,NA,3,2,4,4,3,2,3,2,NA,3,2
71,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,1,2,5,8,8,2,2,3,2,4,4,2,3,2,1,2,2,7
76,0,0,2,3,0,0,2,0,0,2,2,2,0,0,0,0,0,2,1,3,6,4,3,3,3,2,4,4,3,4,2,1,1,3,7
77,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,2,5,5,4,3,1,1,4,4,NA,NA,1,5,1,3,1
82,0,0,2,1,0,0,2,0,0,2,1,1,0,0,0,0,0,2,2,4,8,4,4,4,2,2,3,4,2,4,2,1,1,3,1
87,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,2,2,4,8,4,2,2,2,1,4,4,5,5,3,1,1,3,1
89,0,0,2,3,0,0,3,0,0,4,4,4,0,0,0,0,0,2,2,3,8,7,2,3,4,1,4,4,4,4,3,1,1,3,1
92,0,0,1,1,0,0,2,0,0,1,2,1,0,0,0,0,0,2,NA,5,7,NA,3,NA,1,2,2,2,2,2,1,1,NA,4,2
94,0,0,2,1,0,0,1,0,0,2,1,2,0,0,0,0,0,2,5,5,7,NA,3,NA,1,1,4,2,2,3,1,1,NA,3,1
101,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,1,NA,NA,2,6,NA,3,NA,1,1,NA,2,NA,NA,1,1,3,NA,2
106,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,4,8,5,3,1,3,1,4,4,5,5,2,1,1,3,1
107,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,0,0,2,3,4,5,NA,1,NA,3,2,4,4,5,5,2,1,NA,4,7
110,1,1,NA,NA,0,1,NA,0,0,NA,NA,NA,1,1,0,0,1,NA,2,1,1,2,1,2,1,1,4,3,NA,NA,1,3,1,3,1
113,0,0,1,5,0,0,2,0,0,5,2,5,0,0,0,0,0,2,3,3,5,3,2,2,3,1,4,3,5,5,2,1,1,3,1
114,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,2,2,9,7,2,2,3,1,4,4,NA,NA,2,2,1,3,1
115,0,0,1,2,0,0,1,0,0,2,1,2,0,0,0,0,0,2,2,5,9,9,3,2,2,1,4,4,3,5,2,1,1,3,1
118,0,0,2,1,0,0,2,0,0,2,1,1,0,0,0,0,0,3,3,4,5,7,4,3,1,2,4,4,3,4,1,1,1,3,1
120,1,1,NA,NA,1,1,NA,0,1,NA,NA,NA,1,1,1,0,1,NA,1,1,7,7,3,2,1,2,4,4,NA,NA,1,1,1,3,1
121,0,0,2,1,0,0,2,0,0,3,3,4,0,0,0,0,0,2,3,4,7,7,2,2,1,1,4,4,4,5,1,1,1,3,1
128,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,2,2,7,NA,3,NA,2,1,3,3,NA,NA,2,1,NA,3,7
129,0,0,2,1,0,0,2,0,0,1,1,1,0,0,0,0,0,1,2,5,4,5,2,5,1,1,4,4,3,4,1,1,4,3,1
141,1,0,1,2,0,0,1,0,0,4,3,3,0,0,0,0,0,2,1,3,8,5,2,2,1,2,4,4,5,5,1,1,5,3,1
143,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,1,7,4,3,2,3,1,4,2,NA,NA,3,1,1,3,1
147,0,0,2,3,0,0,2,0,0,4,3,4,0,0,0,0,0,3,4,4,7,3,2,2,3,2,2,2,3,4,2,1,1,3,1
156,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,1,2,7,9,2,3,3,1,4,4,NA,NA,3,2,1,3,1
157,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,2,5,7,NA,2,NA,1,2,4,4,3,5,1,1,NA,3,1
159,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,4,2,7,3,4,2,4,1,3,2,NA,NA,3,5,1,3,1
163,1,1,5,5,0,0,5,0,0,5,4,5,1,1,0,0,0,2,2,3,3,3,2,3,2,2,1,2,2,2,2,1,5,3,1
173,0,0,1,2,0,0,1,0,0,2,3,2,0,0,0,0,0,2,4,3,2,6,1,1,1,2,4,4,4,5,1,NA,4,4,7
177,0,0,2,1,0,0,2,0,0,1,1,2,0,0,0,0,0,2,3,5,5,3,4,3,2,2,2,2,2,5,2,1,1,3,1
180,0,0,2,1,0,0,2,0,0,1,3,2,0,0,0,0,0,2,3,4,6,6,3,2,1,2,2,4,3,3,1,1,1,3,3
183,0,0,2,3,0,0,1,0,0,2,2,2,0,0,0,0,0,1,2,3,3,3,1,1,3,2,2,2,5,3,2,1,1,3,1
184,0,0,2,1,0,0,2,0,0,1,1,1,0,0,0,0,0,2,3,4,5,7,3,3,5,2,3,4,2,2,4,5,1,3,1
186,0,0,1,3,0,0,1,0,0,1,2,1,0,0,0,0,0,1,2,5,2,2,1,1,3,1,2,2,4,5,2,5,1,2,1
191,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,3,5,3,3,1,1,4,2,4,4,3,3,3,6,5,3,1
192,0,0,1,3,0,0,2,0,0,2,2,1,0,0,0,0,0,2,5,4,3,3,3,1,2,1,2,2,2,3,2,4,1,3,1
198,1,1,NA,NA,0,0,NA,0,1,NA,NA,NA,1,1,1,0,0,NA,4,1,3,NA,3,NA,1,1,4,4,NA,NA,1,1,NA,3,1
200,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,7,8,4,2,1,1,4,4,NA,NA,1,1,4,2,7
205,0,0,1,1,0,0,2,0,0,1,1,1,0,0,0,0,0,2,2,5,7,NA,3,NA,1,1,4,3,4,3,1,1,NA,3,1
209,1,1,5,1,0,0,5,0,0,4,4,4,1,0,0,0,0,2,3,3,8,NA,3,NA,1,1,2,4,3,3,1,1,NA,3,1
216,0,0,1,2,0,0,1,0,0,1,1,1,0,0,0,0,0,2,3,5,3,NA,1,NA,1,2,2,1,4,5,1,1,NA,3,1
217,0,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,3,2,4,4,2,2,2,2,4,4,NA,NA,2,5,1,3,1
222,0,0,2,2,0,0,2,0,0,4,4,4,1,0,0,0,0,2,2,3,4,NA,2,NA,1,2,2,2,2,3,1,4,NA,3,1
228,0,0,2,3,0,0,1,0,0,2,3,1,0,0,0,0,0,2,3,3,5,NA,3,NA,3,1,3,4,4,4,2,1,NA,3,1
237,0,0,2,1,0,0,1,0,0,2,2,1,0,0,0,0,0,2,3,3,7,8,3,2,1,1,4,4,4,5,1,1,1,3,7
244,1,1,NA,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,NA,4,2,3,2,1,1,5,2,1,4,NA,NA,4,2,4,1,4
245,0,0,1,3,0,0,1,0,0,1,4,1,0,0,0,0,0,2,3,4,3,3,2,2,2,1,2,2,3,3,2,1,1,3,7
